"TIME","CH1","CH2","CH3"
-9.418e-03,-1.8,2.7,1.04
-9.416e-03,-1.82,2.5,1.08
-9.414e-03,-1.8,2.6,1.08
-9.412e-03,-1.78,2.4,1.12
-9.410e-03,-1.8,2.5,1.08
-9.408e-03,-1.8,2.5,1.12
-9.406e-03,-1.76,2.5,1.04
-9.404e-03,-1.76,2.5,0.96
-9.402e-03,-1.78,2.4,1.04
-9.400e-03,-1.76,2.5,1.04
-9.398e-03,-1.76,2.5,1.12
-9.396e-03,-1.78,2.6,1.04
-9.394e-03,-1.74,2.5,1.04
-9.392e-03,-1.8,2.8,1.08
-9.390e-03,-1.84,2.4,1.12
-9.388e-03,-1.8,2.5,1.04
-9.386e-03,-1.78,2.8,1.08
-9.384e-03,-1.8,2.6,1.08
-9.382e-03,-1.78,2.7,1.08
-9.380e-03,-1.74,2.4,1.04
-9.378e-03,-1.74,2.8,1.12
-9.376e-03,-1.82,2.5,1.12
-9.374e-03,-1.76,2.7,1.12
-9.372e-03,-1.76,2.8,1
-9.370e-03,-1.82,2.5,1.12
-9.368e-03,-1.76,2.7,1.12
-9.366e-03,-1.78,2.6,0.96
-9.364e-03,-1.82,2.5,1.2
-9.362e-03,-1.78,2.6,1.08
-9.360e-03,-1.8,2.6,1.08
-9.358e-03,-1.7,2.7,1.16
-9.356e-03,-1.74,2.6,1.16
-9.354e-03,-1.8,2.4,1.04
-9.352e-03,-1.78,2.6,1.12
-9.350e-03,-1.78,2.5,1.08
-9.348e-03,-1.76,2.7,1.12
-9.346e-03,-1.78,2.6,1.12
-9.344e-03,-1.76,2.6,1.12
-9.342e-03,-1.76,2.8,1.08
-9.340e-03,-1.74,2.7,1.2
-9.338e-03,-1.8,2.6,1.2
-9.336e-03,-1.82,2.6,1.2
-9.334e-03,-1.82,2.5,1.08
-9.332e-03,-1.78,2.6,1.2
-9.330e-03,-1.76,2.6,1.2
-9.328e-03,-1.84,2.7,1.04
-9.326e-03,-1.8,2.5,1.2
-9.324e-03,-1.72,2.7,1.08
-9.322e-03,-1.78,2.8,1.08
-9.320e-03,-1.78,2.6,1.12
-9.318e-03,-1.72,2.7,1.12
-9.316e-03,-1.76,2.5,1.16
-9.314e-03,-1.74,2.6,1.12
-9.312e-03,-1.74,2.6,1.16
-9.310e-03,-1.76,2.5,1.12
-9.308e-03,-1.84,2.6,1.2
-9.306e-03,-1.76,2.7,1.16
-9.304e-03,-1.82,2.8,1.16
-9.302e-03,-1.76,2.6,1.12
-9.300e-03,-1.8,2.5,1.2
-9.298e-03,-1.78,2.5,1.04
-9.296e-03,-1.76,2.5,1.08
-9.294e-03,-1.82,2.5,1.2
-9.292e-03,-1.8,2.7,1.04
-9.290e-03,-1.78,2.6,1.12
-9.288e-03,-1.78,2.8,1.2
-9.286e-03,-1.76,2.6,1.16
-9.284e-03,-1.76,2.8,1.12
-9.282e-03,-1.76,2.7,1.16
-9.280e-03,-1.72,2.7,1.28
-9.278e-03,-1.82,2.5,1.16
-9.276e-03,-1.82,2.5,1.16
-9.274e-03,-1.86,2.6,1.12
-9.272e-03,-1.78,2.3,1.2
-9.270e-03,-1.8,2.6,1.12
-9.268e-03,-1.82,2.6,1.08
-9.266e-03,-1.76,2.8,1.2
-9.264e-03,-1.76,2.6,1.12
-9.262e-03,-1.84,2.6,1.08
-9.260e-03,-1.82,2.6,1.2
-9.258e-03,-1.76,2.6,1.28
-9.256e-03,-1.76,2.7,1.2
-9.254e-03,-1.82,2.5,1.2
-9.252e-03,-1.74,2.5,1.2
-9.250e-03,-1.76,2.6,1.24
-9.248e-03,-1.8,2.7,1.12
-9.246e-03,-1.82,2.7,1.16
-9.244e-03,-1.84,2.4,1.2
-9.242e-03,-1.84,2.6,1.12
